Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
AJG,20161027,130,2016,9,27,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca; Illinois,354190
AKAM,20161025,-6.113537118,2016,9,25,Akamai Technologies Inc,Information Technology,Internet Software & Services,Cambridge; Massachusetts,1086222
ALB,20161107,-7.646474677,2016,10,7,Albemarle Corp,Materials,Specialty Chemicals,Baton Rouge; Louisiana,915913
ALK,20161020,96.20853081,2016,9,20,Alaska Air Group Inc,Industrials,Airlines,Seattle; Washington,766421
ALL,20161102,-14.60234681,2016,10,2,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township; Illinois,899051
ALLE,20161027,-97.14285714,2016,9,27,Allegion,Industrials,Building Products,Dublin; Ireland,1579241
ALXN,20161027,-36.36363636,2016,9,27,Alexion Pharmaceuticals,Health Care,Biotechnology,Cheshire; Connecticut,899866
AMAT,20160818,2.908277405,2016,7,18,Applied Materials Inc,Information Technology,Semiconductor Equipment,Santa Clara; California,6951
AME,20161101,-1.754385965,2016,10,1,AMETEK Inc,Industrials,Electrical Components & Equipment,Berwyn; Pennsylvania,1037868
AMGN,20161027,9.16496945,2016,9,27,Amgen Inc,Health Care,Biotechnology,Thousand Oaks; California,318154
AMP,20161025,-49.41634241,2016,9,25,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis; Minnesota,820027
AMT,20161027,0.917431193,2016,9,27,American Tower Corp A,Real Estate,Specialized REITs,Boston; Massachusetts,1053507
AMZN,20161027,-77.3716275,2016,9,27,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle; Washington,1018724
AN,20161028,0.286532951,2016,9,28,AutoNation Inc,Consumer Discretionary,Specialty Stores,Fort Lauderdale; Florida,350698
ANTM,20161102,-34.28571429,2016,10,2,Anthem Inc.,Health Care,Managed Health Care,Indianapolis; Indiana,1156039
AON,20161028,-12.24018476,2016,9,28,Aon plc,Financials,Insurance Brokers,London; United Kingdom,315293
APA,20161103,-584.8484848,2016,10,3,Apache Corporation,Energy,Oil & Gas Exploration & Production,Houston; Texas,6769
APC,20161031,1010.344828,2016,9,31,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,The Woodlands; Texas,773910
APD,20160728,-22.58536585,2016,6,28,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown; Pennsylvania,2969
APH,20161019,7.575757576,2016,9,19,Amphenol Corp,Information Technology,Electronic Components,Wallingford; Connecticut,820313
ATVI,20161103,-3.703703704,2016,10,3,Activision Blizzard,Information Technology,Home Entertainment Software,Santa Monica; California,718877
AVB,20161024,129.2035398,2016,9,24,AvalonBay Communities; Inc.,Real Estate,Residential REITs,Arlington; Virginia[3],915912
AVGO,20160901,-174.7663551,2016,8,1,Broadcom,Information Technology,Semiconductors,San Jose; California,1441634
AVY,20161026,-4.854368932,2016,9,26,Avery Dennison Corp,Materials,Paper Packaging,Glendale; California,8818
AWK,20161102,59.30902111,2016,10,2,American Water Works Company Inc,Utilities,Water Utilities,Voorhees; New Jersey,1410636
AXP,20161019,-10.51454139,2016,9,19,American Express Co,Financials,Consumer Finance,New York; New York,4962
AYI,20160629,-22.37023427,2016,5,29,Acuity Brands Inc,Industrials,Electrical Components & Equipment,Atlanta; Georgia,1144215
AZO,20160524,-11.72131148,2016,4,24,AutoZone Inc,Consumer Discretionary,Specialty Stores,Memphis; Tennessee,866787
BA,20161026,65.13761468,2016,9,26,Boeing Company,Industrials,Aerospace & Defense,Chicago; Illinois,12927
BAC,20161017,-2.14797136,2016,9,17,Bank of America Corp,Financials,Diversified Banks,Charlotte; North Carolina,70858
BAX,20161025,-34.28571429,2016,9,25,Baxter International Inc.,Health Care,Health Care Equipment,Deerfield; Illinois,10456
BBT,20161019,-0.815217391,2016,9,19,BB&T Corporation,Financials,Regional Banks,Winston-Salem; North Carolina,92230
BBY,20151119,-17.77777778,2015,10,19,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,Richfield; Minnesota,764478
BCR,20161025,-51.15384615,2016,9,25,Bard (C.R.) Inc.,Health Care,Health Care Equipment,Murray Hill; New Jersey,9892
BDX,20160804,-12.83292978,2016,7,4,Becton Dickinson,Health Care,Health Care Equipment,Franklin Lakes; New Jersey,10795
BEN,20160728,15.44227886,2016,6,28,Franklin Resources,Financials,Asset Management & Custody Banks,San Mateo; California,38777
BHI,20161025,189.8550725,2016,9,25,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,Houston; Texas,808362
BIIB,20161026,-2.94663095,2016,9,26,BIOGEN IDEC Inc.,Health Care,Biotechnology,Weston; Massachusetts,875045
